Username,Handle,Timestamp,Text,Replys,Retweets,Likes
Eloisa Galdino,@EloisaGaldino,2010-07-05T19:48:54.000Z,"RT 
@CulturaGovBr
 Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc",,,
Eduardo Lurnel Fora Bolsonaro,@EduardoLurnel,2010-07-05T19:48:19.000Z,"RT: 
@paulagamper
: Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc",,,
Rafael Castro,@Rafael_GoCastro,2010-07-05T19:33:19.000Z,"RT 
@Viva_Cultura
 Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc",,,
Maurício Castro,@mcastro45,2010-07-05T19:23:31.000Z,"RT 
@CulturaGovBr
: Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc 
@namazonas",,,
Curitiba Cultura,@CuritibaCultura,2010-07-05T19:20:11.000Z,"RT 
@CulturaGovBr
: Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc
1",,1,
Lu Teixeira,@teixeiraluciana,2010-07-05T19:08:26.000Z,"RT 
@CulturaGovBr
 Mudanças na Lei #rouanet  em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc",,,
João Daniel Zanella,@joaodanielz,2010-07-05T18:29:46.000Z,"RT 
@CulturaGovBr
 Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc
1",,1,
Jacarepagua Cultural,@jacarepaguacult,2010-07-05T18:21:11.000Z,"Nova Lei da Cultura e o que muda pra todos nós ? http://bit.ly/a8nsT6 Mais infos também: 
@culturagovbr
 #rouanet #procultura",,,
SERGINHO AGENCIASE,@sergioagencia,2010-07-05T18:19:01.000Z,"RT 
@Viva_Cultura
: Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc",,,
Paula Gamper,@PaulaGamper,2010-07-05T18:18:10.000Z,"Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc",,,
fundacine rs,@fundaciners,2010-07-05T18:16:09.000Z,"RT 
@CulturaGovBr
  
Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc
1",,1,
Jacarepagua Cultural,@jacarepaguacult,2010-07-05T18:15:56.000Z,"RT 
@CulturaGovBr
 
  
Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc",,,
Fundação Cultural,@fcrs,2010-07-05T18:15:54.000Z,"RT 
@CulturaGovBr
: Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc
1",,1,
Pasárgada,@VemPraPasargada,2010-07-05T18:15:43.000Z,"RT 
@CulturaGovBr
 Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc",,,
Viva_Cultura,@Viva_Cultura,2010-07-05T18:14:48.000Z,"Mudanças na Lei #rouanet em debate hj no programa Brasilianas.Org, às 22h, na TV Brasil http://bit.ly/atmnzc",,,
